Unnamed: 0,regu1,count2,count3,count4,count5,freqavg0,freqavg2,freqavg3,freqavg4,freqavg5,freqstd2,freqstd3,freqstd4,freqstd5,firdis,firshan,lastdis,lastshan,label
128037,0.8477366255144029,10.0,1.0,8.0,1.0,0.0,6.2,4.0,6.5,6.0,3.5156791662493894,0.0,1.0,0.0,2.404,0.981820610097998,1.244,0.9857693809423579,0.0
208780,0.4685396825396825,8.0,10.0,5.0,0.0,0.0,1.75,1.9,2.2,0.0,0.4330127018922193,1.1357816691600546,0.4,0.0,7.978,0.9063289737552356,8.073,0.8823450811705158,0.0
5192,0.7669682539682534,10.0,0.0,10.0,1.0,0.0,11.2,0.0,7.8,1.0,5.192301994298868,0.0,2.4,0.0,15.353,0.970234891663826,8.296,0.9857859508275146,1.0
50057,0.6822916666666665,4.0,8.0,1.0,0.0,0.0,9.75,13.5,3.0,0.0,6.378675411086537,5.5901699437494745,0.0,0.0,19.006,0.9618494724794816,11.477,0.9603060766400237,0.0
109259,0.4764711043520813,8.0,0.0,8.0,0.0,0.0,5.0,0.0,5.375,0.0,1.5811388300841898,0.0,2.2878756522153907,0.0,6.964,0.9853519803879016,2.2840000000000003,0.9790089056874473,1.0
73349,0.7534285714285712,10.0,10.0,5.0,0.0,0.0,6.8,7.8,3.6,0.0,5.7236352085016735,6.161168720299744,2.9393876913398143,0.0,6.51,0.9774093136892196,6.6110000000000015,0.9727238230343904,1.0
117583,0.6700793650793646,1.0,10.0,8.0,6.0,0.0,14.0,13.1,7.375,4.666666666666667,0.0,3.3896902513356584,3.4618456060315568,2.748737083745107,3.064,0.994754472923604,2.404,0.9814689668546804,0.0
21440,0.5593515406162459,10.0,0.0,8.0,3.0,0.0,2.3,0.0,3.375,1.0,0.6403124237432849,0.0,3.5685256059050494,0.0,14.998,0.992381769484392,14.638,0.9908468926293468,0.0
151681,0.5237474747474747,9.0,9.0,8.0,7.0,0.0,11.555555555555555,13.0,5.875,4.428571428571429,10.446808243149473,11.145502331533661,3.8547859862773186,4.435478484645722,4.259,0.9841213529068892,4.195,0.9835554115997088,0.0
180172,0.5343809523809521,10.0,10.0,3.0,3.0,4.0,18.2,15.5,4.0,2.333333333333333,5.230678732248808,5.970762095411272,1.4142135623730951,1.247219128924647,1.222,0.9722473883638604,3.375,0.9735843018951,2.0
138823,0.675622766122766,10.0,9.0,9.0,4.0,0.0,14.6,6.777777777777778,6.1111111111111125,3.0,5.713142742834281,5.553332888711021,2.8065179867366865,2.449489742783178,1.749,0.979579646713254,1.023,0.9840448668071856,1.0
174829,0.4024706291046161,3.0,9.0,0.0,2.0,2.75,8.0,3.0,0.0,2.5,9.899494936611664,1.699673171197595,0.0,1.5,7.3889999999999985,0.9797988855472336,1.584,0.9599648921768896,1.0
31228,0.4003369071588884,9.0,2.0,10.0,0.0,0.0,3.0,3.5,3.6,0.0,1.563471919941143,0.5,2.764054992217051,0.0,7.916,0.9472274303779032,7.763,0.9514172253556908,1.0
167302,0.7229166666666664,8.0,8.0,0.0,0.0,2.0,15.875,16.5,0.0,0.0,5.732309743899051,7.826237921249263,0.0,0.0,10.505999999999998,0.9500991432283166,10.505999999999998,0.9500991432283166,0.0
21758,0.5191021598429004,2.0,1.0,9.0,1.0,0.0,4.5,1.0,2.2222222222222223,1.0,0.5,0.0,1.133115447465063,0.0,2.72,0.942489198959756,3.196,0.954752681866004,0.0
176485,0.5077069893016584,8.0,6.0,2.0,0.0,0.0,2.25,3.8333333333333335,4.5,0.0,1.7853571071357126,5.89962334014262,3.5,0.0,5.101,0.989223168479614,5.101,0.989223168479614,0.0
166802,0.8144094001236857,7.0,6.0,7.0,7.0,0.0,8.428571428571429,9.0,5.857142857142858,3.7142857142857135,3.1558174334820737,4.0,2.030381486221699,1.2777531299998797,6.755,0.8549797633311441,4.288,0.9831731369216834,2.0
51668,0.7393333333333331,10.0,3.0,9.0,1.0,0.0,4.1,14.333333333333336,4.888888888888889,5.0,2.2561028345356955,3.771236166328253,1.7916128329552332,0.0,2.116,0.9647909296217942,2.72,0.942489198959756,0.0
195467,0.5718749999999999,3.0,6.0,8.0,7.0,4.666666666666667,2.6666666666666665,5.666666666666668,8.875,5.571428571428571,2.3570226039551585,1.9720265943665387,5.278198082679354,5.233331166861201,5.234,0.9820544981643616,5.234,0.9820544981643616,0.0
139516,0.48649544899544894,10.0,0.0,10.0,1.0,1.0,2.7,0.0,2.8,1.0,1.1,0.0,1.4696938456699071,0.0,6.415,0.9756197407507078,3.691,0.9857394354601858,1.0
19946,0.725170068027211,7.0,6.0,7.0,0.0,0.0,11.571428571428573,10.666666666666666,5.571428571428571,0.0,5.038626311013828,5.734883511361751,1.761261143705422,0.0,3.454,0.993962455027813,2.101,0.9939328549640654,0.0
103068,0.8115226337448554,9.0,9.0,9.0,4.0,1.8,7.555555555555554,2.2222222222222223,7.222222222222222,1.0,2.793290019994785,1.7497795275581802,3.2241373618993125,0.0,3.572,0.9624460664103875,2.057,0.9878825147782848,1.0
188317,0.7911904761904754,10.0,10.0,0.0,1.0,0.0,8.7,9.0,0.0,3.0,4.5617978911828185,2.683281572999748,0.0,0.0,3.57,0.9692388618317316,3.089,0.9959791016399604,1.0
92740,0.7926666666666661,10.0,8.0,6.0,2.0,0.0,3.9,4.0,5.833333333333332,4.5,0.8306623862918074,1.6583123951777,4.099457958749615,3.5,6.311,0.9927336303527919,3.536,0.9983977009883656,1.0
31959,0.6972369194591412,8.0,2.0,9.0,0.0,0.0,7.75,11.0,4.777777777777779,0.0,6.057020719792859,10.0,3.3920750049941657,0.0,9.55,0.7724544250349927,7.2429999999999986,0.9821583608189706,1.0
150505,0.9640000000000001,10.0,4.0,8.0,0.0,0.0,4.2,3.5,4.875,0.0,0.7483314773547882,1.118033988749895,1.899835519196333,0.0,4.249,0.9807150597901038,4.166,0.9843190821579659,1.0
148209,0.5847705627705625,10.0,10.0,10.0,0.0,0.0,12.5,17.0,10.0,0.0,5.8694122363316765,8.124038404635959,4.6260134024881525,0.0,3.219,0.972445188316302,2.404,0.981516763326752,0.0
26103,0.7511910311910307,10.0,10.0,2.0,0.0,0.0,16.4,24.7,1.5,0.0,2.9393876913398134,5.604462507680823,0.5,0.0,7.099,0.969618916820277,9.722,0.9712341390234992,0.0
175582,0.7420317460317455,9.0,9.0,9.0,1.0,0.0,14.777777777777779,6.333333333333332,5.0,7.0,6.528191476252612,3.464101615137755,1.699673171197595,0.0,0.8740000000000001,0.9848025918910144,1.185,0.9830863360353532,2.0
182112,0.3922035224762375,10.0,7.0,3.0,1.0,0.0,3.2,3.0,1.3333333333333333,1.0,1.833030277982336,2.0701966780270618,0.4714045207910317,0.0,5.382999999999999,0.9815433763351298,6.2010000000000005,0.9806341879584288,0.0
33878,0.7943662274692481,8.0,1.0,0.0,0.0,0.0,8.125,7.0,0.0,0.0,0.7806247497997998,0.0,0.0,0.0,4.978,0.9845668928081563,5.204,0.9887884759142498,0.0
104589,0.7627976190476186,9.0,3.0,6.0,6.0,0.0,8.888888888888891,5.666666666666668,10.166666666666666,8.0,9.31479640672653,2.494438257849294,10.286182749472983,6.904105059069326,3.511,0.9829009704134029,3.532,0.9822412291512702,0.0
120809,0.717292929292929,0.0,10.0,10.0,8.0,0.0,0.0,2.2,5.3,8.75,0.0,0.8717797887081347,3.2264531609803355,3.418698582794337,2.563,0.9899049488271856,4.562,0.9823925313063164,2.0
99335,0.746370071105365,10.0,1.0,0.0,10.0,0.0,4.9,3.0,0.0,2.1,1.1357816691600546,0.0,0.0,0.7000000000000001,19.032,0.9742982679716284,18.182,0.9236215933016728,1.0
37183,0.7257531584062197,7.0,7.0,7.0,0.0,0.0,13.571428571428573,5.428571428571429,15.285714285714285,0.0,3.619674131234265,4.499433070863891,5.848425568702493,0.0,13.83,0.9774065917430124,3.665,0.9772827902634554,1.0
117565,0.4667070707070707,9.0,10.0,10.0,1.0,0.0,17.666666666666668,23.8,13.8,10.0,9.043106644167024,12.812493902437575,9.410632284814874,0.0,3.096,0.9968164733989126,2.404,0.9814689668546804,1.0
3606,0.6395649617871837,9.0,8.0,5.0,4.0,0.0,17.0,10.25,8.4,5.0,8.628119403696523,8.452070752188483,4.223742416388576,3.5355339059327378,2.027,0.9692851549880444,13.685,0.8290376776926078,0.0
107833,0.6646302716890949,10.0,10.0,9.0,4.0,0.0,16.2,14.7,6.666666666666668,4.0,5.8275209137333865,9.839207285142438,3.4960294939005045,1.7320508075688772,1.265,0.9739111982190656,7.916,0.9472274303779032,1.0
199169,0.6314285714285709,10.0,9.0,8.0,5.0,0.0,9.9,6.777777777777778,2.5,3.0,7.147726911403372,4.491418429201719,1.5811388300841898,2.097617696340304,6.162000000000001,0.9709283581340722,6.24,0.9737796167072732,0.0
128896,0.5784894118227449,9.0,1.0,6.0,2.0,0.0,2.5555555555555562,2.0,2.833333333333333,2.5,0.6849348892187752,0.0,1.2133516482134197,0.5,16.192999999999998,0.8476789525325745,17.109,0.6088736872072142,0.0
61756,0.3964484702767608,9.0,2.0,2.0,5.0,0.0,2.6666666666666665,2.5,6.0,2.6,3.0912061651652336,1.5,5.0,3.2000000000000006,7.817,0.8881320666430477,7.902,0.8870057754099884,0.0
194769,0.7890751470751474,10.0,10.0,0.0,0.0,0.0,18.5,31.9,0.0,0.0,6.1846584384264895,7.777531742140304,0.0,0.0,5.555,0.9617696165143376,7.136,0.8852744337685698,1.0
95496,0.5399093339344382,4.0,6.0,2.0,3.0,0.0,1.75,4.666666666666667,1.5,2.333333333333333,1.299038105676658,2.6874192494328497,0.5,0.4714045207910317,6.249,0.9860809932048079,6.249,0.9860809932048079,0.0
58072,0.8277483833039384,10.0,0.0,9.0,0.0,0.0,9.7,0.0,6.8888888888888875,0.0,3.4655446902326914,0.0,1.911627837120584,0.0,4.259,0.9841213529068892,1.218,0.9808768534664468,0.0
170611,0.7244733044733042,10.0,9.0,7.0,0.0,0.0,5.3,6.777777777777778,4.714285714285714,0.0,5.74543296888929,3.5206621150566355,2.3123448651769496,0.0,4.166,0.9843190821579659,4.698,0.974898568971744,1.0
131503,0.5611872368743411,9.0,10.0,3.0,1.0,0.0,4.333333333333333,3.3,1.0,5.0,2.0548046676563256,1.7349351572897471,0.0,0.0,0.7609999999999999,0.9807930681696851,0.898,0.9810623618780392,1.0
167914,0.3194985194318504,5.0,5.0,4.0,0.0,0.0,3.0,7.0,2.25,0.0,1.4142135623730951,6.0332412515993425,0.82915619758885,0.0,9.581,0.8396681220201117,10.505999999999998,0.9500991432283166,0.0
127609,0.7653727938727934,10.0,10.0,10.0,1.0,2.0,22.2,8.0,3.2,2.0,6.368673331236264,3.2557641192199416,1.6,0.0,7.045,0.8596559776751856,7.149,0.8786426456343659,1.0
82462,0.9199999999999998,10.0,2.0,10.0,0.0,0.0,5.7,4.0,3.7,0.0,5.441507144165118,3.0,1.4177446878757831,0.0,17.729,0.8380794203377517,17.622,0.8241844179944521,1.0
