channelcode,carnum1,carnum2,type,time,lane,dir,LNG,LAT
AjQbFdt8B1BHG132LI1LBM,’„G,D1E454F7AFC1663369545EEBED5FE553,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132M80ISS,’„G,4A27C84AC39AC978E64D0EE6E0F51C9B,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MLCEU9,’„G,0BB756DF5935807C4B0FF7B93A2DA72D,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OTT5QI,πÛB,0EB4820BD93D36D13F9E320C41427CB7,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MJF9MH,’„G,30EEA37DA4DA75BF13A8524A34247B2B,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MJF9MH,’„G,0F3DE67DCA8F76975193D6531062653A,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132L9EJQA,’„G,053E6742A3080D1E1B3738755A150D47,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LSHQUE,’„G,32B55CEF4C30CA075A7370954478C457,1,2019/12/20 0:00,0,,,
AjQbFdt8A1B5KAV1HGJ9K2,∏”E,23DA49DD769702BB22D8E03CD5393D37,2,2019/12/20 0:00,2,1,120.034,29.2098
AjQbFdt8A1B5KAV1NH9SQA,’„G,21C98AB78733E65437E898EA3A3023A5,2,2019/12/20 0:00,5,2,120.029,29.3073
AjQbFdt8A1BDJ7F0UMQOUR,’„G,777DDF11FAACC071CEE539F05D66908E,2,2019/12/20 0:00,3,1,,
AjQbFdt8A1B5KAV1BDUVB1,’„F,81B465DE9C5CE8B4CDC35A6F915715BF,2,2019/12/20 0:00,1,1,120.013,29.3255
AjQbFdt8A1B5KAV1AGC6SB,’„G,66E93603B7569A260A31484C1C2772C3,2,2019/12/20 0:00,7,0,120.061,29.3104
AjQbFdt8A1B7K06Q49KGGH,ÕÓA,00213D398FA823B31D851FC6833A3F12,2,2019/12/20 0:00,1,3,,
AjQbFdt8A1B5KAV1ATNP2H,’„G,F37CB4B4B7F28861E51B03BBAF0885CF,2,2019/12/20 0:00,1,3,120.098,29.2924
AjQbFdt8A1BDJ7F14B58LO,’„G,E5F9FBC69359B093F14F7BE6CD9FCA87,2,2019/12/20 0:00,3,2,120.042,29.283
AjQbFdt8B1BLO8VTGA3TAP,’„G,F0469D31C78102CC7A116ECF6F4E53B7,2,2019/12/20 0:00,1,1,,
AjQbFdt8B1BLO8VTCU8BGA,’„G,C245D10DF1D2875F89CDE27149E66AAD,2,2019/12/20 0:00,1,,120.039,29.3075
AjQbFdt8A1B5KAV1LRRI5S,ÕÓC,8773D109DDA6902742EB3BCF1C6C2A1A,2,2019/12/20 0:00,1,1,120.04,29.3437
AjQbFdt8A1B7K06Q48LUUQ,’„K,8095CA6A9D05C27E54712FBF600F0DF8,2,2019/12/20 0:00,3,1,,
AjQbFdt8A1B9BQBJBR2NSU,’„G,040857FDFC4018CE11843A09A9F1B98D,2,2019/12/20 0:00,2,1,120.107,29.3069
AjQbFdt8A1B7K06Q2AJUR6,’„G,8F1C155A6EAE3359B7089930DB08B4C9,2,2019/12/20 0:00,3,3,,
AjQbFdt8A1B5KAV1MT8IVS,’„A,40FE6CFF1AB44B7FF2B57314E6E94C78,1,2019/12/20 0:00,4,1,120.106,29.3553
AjQbFdt8B1BLO8VTCMJRHU,’„G,7A350FEEBF361A2ACE5EB00A8574424C,2,2019/12/20 0:00,1,,120.064,29.2858
AjQbFdt8A1B5KAV1PNTOK2,’„G,FC843A0A63DD1339316469158DBABF9A,2,2019/12/20 0:00,1,0,120.087,29.3103
AjQbFdt8A1B5KAV1NFCQA1,’„G,A87B47B1BC64A12233E4545163F025F3,2,2019/12/20 0:00,3,3,120.027,29.281
AjQbFdt8A1B7K06Q30IB0T,’„G,7E6FD45A7604F9946F79990AC1E1B68D,2,2019/12/20 0:00,2,0,,
AjQbFdt8A1BDJ7F0UKTMRE,’„G,956A47F86C0F60BA5E2DE9CB9CCCCE7A,2,2019/12/20 0:00,4,0,,
AjQbFdt8B1B86TBMKKJDED,’„G,E4D4E57D67062C66AB4F9A1DA3937EEC,2,2019/12/20 0:00,4,1,,
AjQbFdt8B1BLO8VTDM4DDV,’„G,CE1C1FEA48241CD31541661C56B2EB52,2,2019/12/20 0:00,1,0,120.009,29.326
AjQbFdt8B1BLO8VTJCEB3J,’„A,A25E1A2DCF5EA9F4CF4CFD48CB774849,1,2019/12/20 0:00,1,,,
AjQbFdt8A1BKM7BGUF1OEK,’„G,F06D826FB75A0832B588B0D7BD7B0DE1,2,2019/12/20 0:00,2,2,,
AjQbFdt8B1BLO8VTK0G3EN,’„G,DA9F3E2854FEFBEE83A306AD374D55B2,2,2019/12/20 0:00,2,2,,
AjQbFdt8B1BLO8VTDDHB41,’„G,5F16C17B7983A4A48DBCB089EFD5D4EC,2,2019/12/20 0:00,4,0,,
AjQbFdt8B1B5K31KOQ05SO,’„G,C634AECFF874C5652563AB74084171F1,2,2019/12/20 0:00,4,1,120.101,29.3184
AjQbFdt8B1BLO8VTJI5LLA,‘•E,EE0CB45C3395D923625B388826EA74FD,2,2019/12/20 0:00,3,1,120.125,29.3302
AjQbFdt8B1BLO8VTD6RDT3,’„G,86989FD1F23D49F15FB306D4C54A112A,2,2019/12/20 0:00,2,1,,
AjQbFdt8B1B6U6LVVJ28HK,’„G,2A2E9972245DE520C3D2CFCBB4BA21B5,2,2019/12/20 0:00,3,1,120.09,29.3109
AjQbFdt8A1B7K06Q4DEP22,ÕÓK,1214A48A654BF80845C4AD8A505F0C1E,1,2019/12/20 0:00,4,3,,
AjQbFdt8A1B7K06Q4H90NE,’„G,9D23285F90C8C1D1280AF4D7A39272BE,2,2019/12/20 0:00,3,3,,
AjQbFdt8A1B5KAV1OODV99,’„G,87D48784FDC0189B35C361ECA80B10CD,2,2019/12/20 0:00,2,1,120.179,29.3327
AjQbFdt8B1B5K31KP5EJRO,’„G,AD6798F2868914F21B41E880EA311C8B,2,2019/12/20 0:00,2,2,120.135,29.3088
AjQbFdt8A1B5KAV1TSI18J,’„G,4A218A0931FF883F70AA87A5F101658E,2,2019/12/20 0:00,2,0,120.061,29.3105
AjQbFdt8B1BLO8VTFTMJHJ,’„G,8519A19BA16F69A7EBED1757A634D33B,2,2019/12/20 0:00,2,2,120.092,29.2904
AjQbFdt8B1BHG132MIGOHJ,’„G,611C787DFE7D43D3C34EFB7D6D2AC914,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OQ2UFO,’„G,297EBB8988A20765C822C1CDD6675450,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LSHQ7D,’„G,3687E3D91727FCF71E14FB4CF8F34476,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MIGOAA,’„G,F92F9F4F2BACC1ECEDCD35455B4CE424,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OO5R0L,’„G,58D64B0017073B2FBAAD0CD3B27E0529,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MLCDSI,’„G,69EE5D0F55F797B0F2AB70C254F5CDE9,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OS00NI,’„G,3EDAD0068CA735F85D938C9A631D8527,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MDNUGA,’„E,1016591F8CE117EBADC0A85D143FB4D7,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LQKMTH,’„G,3011C90A93AFDF645B3EBE0083BE83CD,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MN9IUD,’„G,F9600466A5D9D30B03CDD70AF2837BE3,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BLO8VTGIMUVQ,’„G,974DD225B1B47CA08CB617FE25693D72,2,2019/12/20 0:00,3,0,120.075,29.2849
AjQbFdt8B1BLO8VTE5DDR2,’„G,BD403FBCD98ABE95EF1454252C5BF8D0,2,2019/12/20 0:00,1,2,120.145,29.416
AjQbFdt8A1B5KAV1ITE5DL,’„G,D4BFB2F748823DF2A418679ABB1C78E1,2,2019/12/20 0:00,4,0,120.024,29.292
AjQbFdt8A1B7K06Q3IN17K,’„G,B02B9C69CC349FB5FA9C258C57216F27,2,2019/12/20 0:00,3,2,,
AjQbFdt8A1BCC8O0PF221H,’„G,F15110A7E78A53D3BE4034D32209D7AF,2,2019/12/20 0:00,6,0,120.093,29.3267
AjQbFdt8A1B5KAV1H8V1HT,œÊA,2EB574F9D3632C13CB589ED2BB2E5565,2,2019/12/20 0:00,2,0,119.934,29.247
AjQbFdt8B1BLO8VTG0I9IQ,’„G,ED1831260C781862FB7EF64CA963F715,2,2019/12/20 0:00,2,1,,
AjQbFdt8A1B5KAV1D0GS5V,’„G,36A2CE8D913CEC20834A595F214D2004,2,2019/12/20 0:00,3,0,120.11,29.3137
AjQbFdt8A1B7K06Q30IB0T,‘•C,6BA2A15668D4EA277CFA13989C9F585B,2,2019/12/20 0:00,1,0,,
AjQbFdt8A1B9BQBJBTUDJR,’„D,A502971F6D3533C8E3D5AF3508213432,2,2019/12/20 0:00,6,3,,
AjQbFdt8B1BLO8VTDBK733,’„G,17E5D2A54D49361A441028F28F2834F6,2,2019/12/20 0:00,5,1,,
AjQbFdt8A1B5KAV1J188RV,‘•D,E0C6CB7551C213041839041BCD517A54,1,2019/12/20 0:00,1,1,120.024,29.292
AjQbFdt8A1B5KAV1IMOF38,’„G,C664E2DE0E8B904BCCEC49F83A05C1DD,2,2019/12/20 0:00,3,1,120.043,29.2672
AjQbFdt8B1B86TBMN8I5M8,’„G,829482B39A5C0E808190EFBE1C33AEC6,52,2019/12/20 0:00,1,1,,
AjQbFdt8A1BL1TPJTM2AB8,’„C,FCB40F07D06DE0B374B64839B1E95BC2,2,2019/12/20 0:00,2,3,,
AjQbFdt8B1B86TBMN6L2CF,’„G,8F83AFFF62708158A18DF0D0CB429FFD,2,2019/12/20 0:00,1,2,120.052,29.3807
AjQbFdt8B1BLO8VTJG8J1H,’„G,EBAC0E890678D9313DE13F7E4233EFC1,2,2019/12/20 0:00,3,,,
AjQbFdt8A1BKM7BGUE3733,’„B,8727C03DA0AABE34D67EB88A1862C3BF,2,2019/12/20 0:00,2,2,,
AjQbFdt8A1BDJ7F14B58B9,’„G,54998B96E5BAC2AB11E640CE1F4A496A,2,2019/12/20 0:00,4,0,,
AjQbFdt8B1BLO8VTJCEARJ,’„G,C4768C112BB77CD0C695BEC38AD7AB97,2,2019/12/20 0:00,1,,,
