carnum,ft1,lt1,ft2,lt2,ft4,lt4
’„GD35BB0A0ECFA454779C61E8AE87AABF1,7,17,7,17,7.0,17.0
’„GE4DB7F3573153EA6D6D104A0334948A6,7,8,7,17,7.0,17.0
’„GED1B1B4A59259A637B3174557486EE19,7,17,7,16,6.0,17.0
’„GB53EADF873AFFB8FB6AA2C4D19B82AAF,8,21,8,18,8.0,17.0
’„G6CE761906CBA60387777BED5F5C93F14,7,19,7,18,,
’„G0AD8B2A843EEDDC14FEDBCB52850C528,17,22,13,14,,
’„G0DB2EEC0F3239F1A208A8C9DB3D19358,15,18,11,17,7.0,21.0
’„G2C5BAECB33C3A4005E4AD38CDEA6B480,7,19,5,10,4.0,23.0
’„G30965AB00019D786A2C4D124D17A753D,7,18,7,17,7.0,19.0
’„G46EB7D7AF2B6E50B94B8C686E4D91866,7,17,7,17,7.0,18.0
’„G4733B18A231FC00CDD9AADF95BEFB9B8,7,16,9,12,6.0,16.0
’„G4FEBEE41601732B8D47DE5DBE2782169,7,15,16,17,,
’„G5DF28B54B2D3B8735C9013D8510B9540,8,18,12,15,8.0,9.0
’„G8B71F6957BAB4198D5879FA961323041,6,19,7,18,,
’„G95D24B19D72A24BB6E5C2440B69CEADC,7,20,7,17,0.0,7.0
’„GB9A6D329634D8F6B5229D0DD9FE6E7C2,7,17,7,17,7.0,18.0
’„GBCFB3E94639AF1D5AD4DA799134CFEE3,7,17,7,16,,
’„GCD18732E0889B0084321B728F8C58EBC,9,15,12,14,7.0,18.0
’„GD8A1AEA3952F53DEFB8F23398AE7C90A,6,17,7,16,7.0,18.0
’„GDE4F36D9D0AB1CE4B39C604E603A0B32,8,17,10,17,8.0,18.0
’„GEFE9350C49D69CF973F160686FCE79DC,7,15,6,17,6.0,17.0
’„GF1747DE00D0E6E2E229986D8228941EB,7,16,7,16,6.0,17.0
’„GF5786A21AF10E508F66FB5B8B1DFFA2D,8,16,8,16,7.0,17.0
’„GA940484CD72A150BBA23BC6D95D52E5C,6,17,7,18,6.0,18.0
’„G7AABA190566CD7F9E5715EB30851AA1B,8,18,7,17,8.0,18.0
’„GC04123B4A3AE601D92F85A2A69FD00C4,3,18,6,17,5.0,18.0
’„GC4EB6F962F7F84B17192634802B7B103,7,18,7,16,,
’„G48C29FC1DB245382D870CB497465846B,6,7,7,18,,
’„G8C4C98B28D5920F325B2CDC4EB422CDB,6,18,8,18,7.0,17.0
’„GD1DC4F1453D1A393FE9E15AF13BC6F1C,17,20,7,17,,
’„G78637C2F81BBCBB628FABFA9E9641BCB,6,17,7,17,6.0,17.0
’„BCAB6F5E758E29AD3BBE1D7F473C5E960,8,17,7,16,,
’„G0CFCC3E35F716E9AFCBB2D2BDDA8AC7B,7,17,7,18,7.0,17.0
’„G17456B39C23A2670FFD96B0A83111467,6,20,6,17,6.0,19.0
’„G2AB4D00A926A09CCEB5EAF062E5CD938,7,13,8,11,,
’„G3FFB37B96339304E5BDE5F7D4B0A4BE0,8,16,8,17,8.0,18.0
’„G38D9DC34DC9AD2FDEC05A88DC2EF9C22,6,19,8,17,5.0,20.0
’„G07562A63F390FDE9C6D6766D12F2972A,7,18,8,17,7.0,17.0
’„G27F3B9FCA9D756A8C03EF5CEC0865071,7,16,7,17,7.0,17.0
’„GDFB5E7961ABDAB4E651449109745C9C7,6,20,7,16,6.0,17.0
’„G10C63D4FA0E84230487A8811CB4D0D84,7,18,7,17,7.0,18.0
’„GDB44AD090C67ED241E0868EA768E901F,7,20,7,22,,
’„GE6A36C11DE069B9221E1B8B7EB607807,6,18,6,17,7.0,18.0
’„GFAE17E3DC06D51183D4195F9266E05E7,6,17,7,17,6.0,19.0
’„GD7477955A0A72BEC62171DFB716CDCE4,0,22,10,22,1.0,23.0
’„G7ADA16ED27F96B89AB634FE2CF01D28D,7,20,7,13,7.0,20.0
’„G30E3414023D75503F5B2BE97A229A593,5,20,7,17,5.0,21.0
’„G13AC275B85EC0691A858DABD26BD9A83,6,17,7,16,7.0,18.0
’„G5812697AA7F631B2CDEE3BA8E9146485,11,20,8,16,8.0,21.0
’„G6F617672A4D4E56F7AF1DA543E1DE6B2,8,17,7,17,6.0,18.0
’„G9ECE291244D7E9C0C87BE4096CB79627,8,17,6,20,7.0,20.0
’„GA96AF64D10FBD1D71B242168CD5685C8,7,19,6,16,7.0,18.0
’„G3C0ACAA0F1FD87BF95999E7088E50063,6,18,7,16,7.0,18.0
’„G9A6B5409050ED505C5F07BE9A83FDE06,9,16,10,16,,
’„GBE807AF8D7F43F4DB6ADF3BF042B19C7,7,19,7,17,7.0,16.0
’„G037950AAF95045332716AB5663B06228,7,17,7,17,,
’„GC09FFEB9B77DD6B4BF460F117F91C2EE,18,22,7,20,,
’„G3DA9901E509718DCFA5347050B9F3B75,8,19,8,19,7.0,19.0
’„GABBBC1BA662441BCE7766AAF9D5F098F,8,17,11,17,7.0,20.0
’„GB208EE07410CE9E7A569278EBE31E24F,6,17,7,17,7.0,17.0
’„G65D148626B9A69E248AA336D6FBB2167,7,16,7,16,,
’„GEC23E62E2A244BE0B5E48108778F6C00,7,17,9,17,5.0,20.0
’„G4B14AA9D78930B2874A07914D24473E4,6,15,6,15,,
’„G6747D2AB0AECA13536E15655410D9CD5,7,18,14,18,8.0,18.0
’„G6CFB94A04B42198AD298C31A1F9CC515,4,15,5,8,3.0,15.0
’„GDD45DB0D103ACD438E3DA75292F11184,8,20,8,20,,
’„GA623C103BC00A5914EB0017DE9994022,7,20,8,18,7.0,20.0
’„G18B514C70D695C0C81AB2EC1095C9DF6,7,17,6,7,7.0,16.0
’„G2F08DB27AB60675CC95A89175B40474C,7,8,7,18,7.0,18.0
’„G020B5A02AC8061BA50FCE2C0E9593BAF,7,17,7,7,7.0,20.0
’„G672EFF43B8D8BEE34B8E46AE01155AC0,7,17,7,17,17.0,17.0
’„GB8EB06193A315DFD45443201DA950F59,7,21,8,17,,
’„GCCB9DFBFC0D7FCFE1A7472EEDA396841,6,8,8,8,,
’„GA83AE33E47063CF80CD8267767842CF1,8,16,8,18,7.0,7.0
’„GA75BCE33B2DA3338255E45CF0B046063,6,16,7,16,6.0,17.0
’„G3DA73F838ECDD8F03E57191A35E57228,7,20,7,17,7.0,21.0
’„G3ACD0E0E11BE0D354FAC07407ADF5A9E,8,15,8,15,9.0,18.0
’„G4EEEA7C186E4AC615A8C5D01CAFBDA47,3,18,5,16,,
’„G84D68E40CB5DFB3C346D72B873F112A7,8,16,9,11,,
’„G5F7B5057383BAEFDD37B4FA5258594DE,6,17,12,16,5.0,18.0
’„GC69BE42F25E9D1A8FBE783AF8549B16B,6,20,7,17,5.0,20.0
’„G30017331887CE1256C241A375F18A222,7,16,7,17,7.0,18.0
’„G3E13D2E1E759D789EACE206150D0EB75,9,17,8,15,,
’„G43C609A47610996F0180445294E8E3BD,7,17,7,16,7.0,17.0
’„G52A526388E42AABBFEBB81D6CD067923,7,18,7,7,8.0,17.0
’„G8CA5E23B3C375C80008E3B5EA3130A1A,7,17,9,16,7.0,18.0
’„G1F201C90AFE8A1B8CD6EC2F975989A7D,9,9,8,16,,
’„G482468A05F421E21510FA8962B5DB6F6,6,18,11,17,6.0,20.0
’„G521A15C5089F21F97426C02AFE2484FA,8,9,8,16,8.0,15.0
’„G644F982324EC3899E4361C86C9C4AE7E,9,18,10,10,,
’„G6F360CBF84BEB5F18BB210FADFF7F301,7,15,7,12,0.0,17.0
’„G960A8BC159700040BF96971480455A58,8,16,8,16,8.0,17.0
’„GB0CD98CB6F64FC119891C79DA66FC909,6,6,6,12,8.0,16.0
’„GB7CDA4D9D3A13D157DF7D5802896A531,8,16,8,8,8.0,17.0
’„G9AA7BD1FC042933312C60145B43F954F,6,19,6,17,6.0,18.0
’„GAE4E00D0D8BF21487F415C2B5D33728D,7,16,8,10,7.0,18.0
’„GEE450820C410C0DDCA87C01BBE33E1C7,7,17,9,9,7.0,17.0
’„G8BBB59618903FA5BF27945D384579433,10,21,7,17,8.0,19.0
’„G4ED3D78071F79F917E066B4124ED8C8C,6,8,7,17,7.0,18.0
’„GAC0BFDF8A510414BC2558638EE623064,8,19,8,18,8.0,19.0
’„G5D0FF1DE511FB94147B2AE8008266F82,7,17,8,17,8.0,17.0
’„G7AEA5FEAF27ED8B319FDB2CE46A9D649,8,17,7,17,8.0,17.0
’„G89B48633844CDA6825D66FE76EEDDB43,18,19,8,9,9.0,17.0
’„GD5500F81C97D26F1F7C0F35C1306146C,8,18,7,17,7.0,19.0
’„G171588D3C0502A0674FD3EA9386E36CB,7,8,7,18,7.0,17.0
’„G6D1C4176C1D10E6B675EBC0CC112F840,15,20,7,16,,
’„G5BCDBDAB48319D9FF9B92FA5EDD7B76F,6,19,7,18,7.0,18.0
’„GD705E0F65C79AC77C4EE1AA08C6AA4A6,7,18,7,17,7.0,17.0
’„G61155FC9F74A50D2A9B67220295F877F,7,18,9,11,,
’„G69AD566157F7881009976469D637C9DA,6,17,5,19,,
’„GF8CB5A85DDD5B02DE3E7986A0B24036E,5,18,7,16,18.0,21.0
’„GFFE2C5A3449840939D9123C559EEBA07,6,15,6,14,13.0,23.0
’„GB6A4675CA17412E29741B40F607905A2,7,20,9,19,13.0,21.0
’„GC5A17787D85B1E4212FDCDEA2873877C,7,8,7,22,7.0,20.0
’„GED8BEECFB10E8C60E2008FA3FC591984,8,16,7,16,,
’„G05299009C9ACFABB04763244E40FF7A0,10,18,9,10,9.0,18.0
’„G51BA638ECA96053A1A1EAB47C5831EF4,8,16,8,17,8.0,17.0
’„G68DDF625D6FBBB0E638E77CC56EAB767,8,16,14,15,8.0,14.0
’„G0F6A892F0759C1B19D664FBEB1A34D2C,7,19,7,18,6.0,19.0
’„G2098B1C02CB60A67C9AFAC0B7309EDDB,6,17,7,16,6.0,17.0
’„GE8DA9B68200D9E49643A9F2CA78DE0AA,13,19,13,13,9.0,23.0
’„GDAEA47E548118E4B28335B1BDAAAB657,12,17,13,16,8.0,20.0
’„G5742B5EA69FD2B2D21EB56E4E9E9066B,6,12,6,17,6.0,19.0
’„GBF02201C99F92F760ADC6ED8D2462464,7,7,7,18,,
’„G4F0E37CFA4A165491C973A4A055471D7,8,19,8,17,,
’„G445685B703C4F3C9B2CE4EC169DF9580,7,16,7,17,7.0,16.0
’„G97D871B7E1255107B3960ECB590F70DC,18,20,8,18,,
’„G3938DB158D38440033DD2EF245277556,7,17,7,19,6.0,20.0
’„GB030F23047436CC3D78E508D7E617DA8,7,23,7,8,7.0,22.0
’„GBDAFF8930B95D2C065155CF1A7F60DBC,12,19,11,22,8.0,17.0
’„GA5190E652B0F4D2104F194DCBCBFC049,18,19,17,17,6.0,18.0
’„G62EB3308EEDB6E3F7D7349A53390EDE9,8,18,12,15,8.0,9.0
’„G11F04F3AD59F168CEB9BCBC61F43270E,6,21,7,17,6.0,18.0
’„G79D45E62B58D69B16F02FDAFC768F600,7,16,7,17,7.0,17.0
’„GAC2A71702A132E1A471F4369A0966F50,7,21,7,18,6.0,20.0
’„G8EBDF3BEE43AF2D185ED1C686AF16CD7,7,8,7,19,8.0,21.0
’„GAA93077761B75A1AA7A6235B2A5FEEEE,9,11,12,18,7.0,8.0
’„G299A06CB35AC6D1F6330952330B9DB91,4,17,4,16,4.0,8.0
’„G54C56499967B54E02A0BD1CFA10CBA3E,8,17,8,17,7.0,19.0
’„G39E40A7996D1A5B440523E01E216D936,9,15,12,18,5.0,18.0
’„G177739093941C6166F0F1F20657F8C15,9,18,8,16,10.0,16.0
’„G1A2DF1BA4699952D2F792AA96B8EC157,7,17,8,16,7.0,18.0
’„G4399E41FB7A9A45F5659665812BF583D,7,11,7,17,7.0,11.0
’„GE24913109513097A8A2BC67749D71B1A,7,8,7,17,7.0,17.0
’„GD8B25D24778E1C60E7A0A6FE604AABDA,9,17,11,18,,
’„GE0E27B827B97239746005B9BF5E43339,7,21,9,19,7.0,21.0
’„G1A6EF183E34BA974728954E2E42C8ED1,7,20,7,17,6.0,18.0
’„GA5CD63A0ED88CF62BCADCB9CABAB6E76,7,19,7,17,,
’„G2B11FA01831D4DE42F85FAA9ED015E93,8,21,9,16,,
’„G5F003053DB39864788A67ECABDC71938,8,17,7,15,16.0,18.0
’„GD3459ADEE98E99609C94452401D2ADCB,8,20,7,17,7.0,18.0
’„GFBE5D6704636B2D97F6E93109ABE418A,7,22,7,21,,
’„G0BF922FBE230223041473F282A473633,6,20,8,15,6.0,21.0
’„G5C451A0D386182CB367101A45DFE9201,15,18,7,16,7.0,21.0
’„GCE6CD6C2E34DC620CFA441E9489CDEEC,6,22,8,20,6.0,21.0
’„GF19244FD2D91CFCC08F334B011217198,0,21,12,17,7.0,23.0
’„G71A7FDADA88259FBBC267967EB424A98,15,16,8,12,7.0,20.0
’„G770794B02B01B5B8213DCF9618FE8C63,14,18,9,13,,
’„G0C0399C6A7D981B0D9300347AC14C689,7,19,13,16,6.0,17.0
’„G9A9F64E27C0613F14E605F9DDC766BD8,9,13,12,18,8.0,17.0
’„G3D6006A32F7B33236C15CF987C19E013,7,21,7,18,7.0,22.0
’„G5A9A50D15DDB18239386EF699D8A9085,8,21,9,11,11.0,22.0
’„GAA3AEAFDA2FC8CAF886767C20CE116F2,7,17,7,8,7.0,17.0
’„G219B36C1E43CF272B657CF24A7D97D3B,8,9,10,16,7.0,17.0
’„G40EB88FCD9E3A20E1092801F145ED2FB,8,16,8,16,10.0,11.0
’„G5AA83283B387B550FF8CB68C00BCE4A9,6,18,14,16,6.0,19.0
’„G8E6C4798700C0A77AC14724E09A0BF68,9,19,8,15,8.0,9.0
’„GB268B6ECC5B99823B815C8BDC6F9CA7F,7,11,17,19,7.0,16.0
’„GFA4CE2B174544E18BFDC2525E8995C93,18,18,6,18,4.0,19.0
’„G392C59DF9D8F59ECC17810EA5025CB05,7,17,7,17,6.0,17.0
’„G28C4E1F54356C657206932640B5E02E8,7,18,8,17,7.0,19.0
’„GF6B9D514DF4158382791663581E5E7ED,7,11,9,11,,
’„GC327F6155072E88B00DF088E16299CA1,7,17,7,22,8.0,17.0
’„GA4E4B48854BDE5A2984E88FE506F32D9,7,17,8,17,7.0,17.0
’„G6CECDD72D98AAE3C1A17727BF6953685,17,21,18,21,1.0,22.0
’„G8299C0E4D88C996A50E2FF358FCEFF3B,7,10,11,18,,
’„G988780736130BBAB92321D0B66A2BCB3,8,17,8,17,8.0,16.0
’„G1B9ACB8423346B92196E04B2169680F4,6,17,8,16,6.0,20.0
’„GEE9866CDED8083EE7752012F364B3F46,7,12,8,21,7.0,9.0
’„G3A9F78261D8D036D01D66BA3FFC3A133,6,20,7,17,5.0,19.0
’„G3CD6765EBE20C1B586C62E08E0AC15BF,8,16,12,16,7.0,8.0
’„GEAF2F3204643354C3D4036AA26A51CAA,8,19,7,18,19.0,19.0
’„G87454D6469AB4B5030A130C86F62EAC8,7,16,8,15,8.0,8.0
’„GCAD42006B3769CABA8E8203619CBE52E,8,13,9,15,8.0,16.0
’„GF85CAFE7EA1446C5113C850E7D662E5B,7,16,12,14,7.0,17.0
’„GC0CD114CF9A0256ACB5E2C6C7C011A1D,7,21,8,18,7.0,19.0
’„G1C69783E7820589CD3EF2CDF66B5FD54,8,17,8,17,7.0,18.0
’„GD0FFB798BDABE380DF7F06B71C4BD056,8,18,8,17,9.0,18.0
’„G12E459FF93E487A71E809CAB722C17ED,7,18,7,17,7.0,18.0
’„G0C447A82958FAF97374766AAC6465154,7,18,7,17,,
’„G24EEC684471981F2499CA440CE6D2EEF,6,18,6,17,,
’„G47925D2D9AD4FC66BA0BB41E9D7CBA92,7,8,7,17,7.0,18.0
’„G7B660E6AFA015AC84CABC76F43E7A803,8,16,7,17,,
’„G49A1C0F74E6ABE59F96BF6CA37AE22DA,8,17,8,17,8.0,17.0
’„GEB844455006EC0BD65EB5413F6186B90,6,15,6,15,6.0,16.0
’„GF363985405930277E6C865E0E6961D4C,8,16,8,15,7.0,16.0
’„GFA199D43A0D1510440A95208BAD76E19,7,17,8,18,7.0,17.0
’„GF13D1C80B3C10335B852E238220537B1,7,17,7,16,17.0,17.0
’„G4DDEF114E5242BC8A0934789FE7022F4,6,19,7,7,6.0,17.0
’„G91C7024738B42CA7BF9F4A7D43B84895,10,15,8,13,10.0,13.0
’„GD4DE9A6811C4AA84BC7BDA34CB8CEC3D,6,17,8,19,6.0,8.0
’„G0F00451041788DD3D2965C7E61E47708,7,17,7,8,7.0,16.0
’„G1095BE2E11DE4E5830F066BC16ABC878,7,20,6,19,7.0,20.0
’„G27A05EC0D3228A88C7780505E2BE8EB8,6,22,8,18,6.0,16.0
’„G2F9C64905C22D24CD7E0EC4587810FA4,7,17,7,8,6.0,17.0
’„G31A005751AFE02A204B2DC73BD366C9A,7,18,7,16,7.0,18.0
’„G3FF23E57F47CEFF35FD5B6837342B418,8,21,8,17,,
’„G464409BDAEA80095366765C902F06B35,7,17,7,17,7.0,18.0
’„G5AA91B22B344454A0B333ACC505AEDEE,7,19,8,17,7.0,18.0
’„G5FCFD29BAB493E6DE2C718D49BE29132,7,18,8,16,7.0,17.0
’„G69C2E4FB9A845E9489B4E706D8F13C8B,6,17,7,18,7.0,7.0
’„G72D1C007FEA024F15EB89BC38FCEA93C,8,13,7,14,7.0,12.0
’„G76DD8A425D5384CF04F75846D2D1FDAB,6,17,7,13,6.0,20.0
’„G78C0FE79D2278FB72626301A812928AD,6,17,7,16,7.0,17.0
’„GA907C166E162E9A68CC1B3AD7B72CE4D,7,22,7,18,,
’„GB1258826ACCDA910B8BB9A5F9D71E424,7,20,7,17,7.0,18.0
’„GB36368EFB25C2DDE1A73A8D23BA3C575,6,18,6,17,7.0,17.0
’„GBFAC5E40B548C7560D73CAEDC4C766C0,5,19,5,18,4.0,13.0
’„GC59FE2D0EC1667A88F90664873A5B462,7,20,7,16,7.0,8.0
’„GEAF0B6161F5CE81C1CB5446C6821BFC9,4,19,7,20,,
’„GF89916DB69A1E24D80B6D6B1C688F4AB,7,16,8,20,,
À’D5AC8DA15CD3E450A7FCC87E33E918422,8,13,8,18,,
’„G7CF52E3E1418E986441C11D5855BD0D2,7,19,7,17,7.0,19.0
’„G25EE467D1D260F199BE62D38803E9C9B,7,17,7,17,7.0,19.0
’„GA6EC712615E252F9718DC1D5334E52DA,7,21,6,17,7.0,18.0
’„GC95E8B1356796229EA6415D1FB4A5123,8,9,13,15,9.0,19.0
’„G415C71CB94E0BF100066A6AC4CF8F425,6,20,7,18,6.0,18.0
’„G20D786B05CB6A4EB975233D50D2B99A2,12,22,8,17,10.0,15.0
’„G47F39519A6911BCAD78E7E2B5C9DF41F,7,17,8,17,7.0,18.0
’„AA86CA459DA0425A1ABD850C29BBB684E,11,17,12,18,11.0,17.0
’„G46B7BEDA32CE306267A3843C31C61D9E,7,18,8,16,7.0,17.0
’„G6087A161DC61D21E6969C6B5E513D209,7,17,7,17,7.0,17.0
’„GA0D910F8391338631F3F6D245B203834,7,17,7,17,7.0,18.0
’„GFBE99BB5B336EF1970AECCC17D76954D,7,18,8,17,8.0,18.0
’„GB3017D514C124B4C2FAFFDDE44BFF148,7,8,7,17,6.0,18.0
’„G3487B37D0257D6A282C6C65A8D35B866,6,17,7,17,7.0,18.0
